error,pos,correction,error phrase,correct phrase,num of this error-correction phrase occur,num of this error-correction pair occur,collocation,category of collocation,total num of error time this error-correction pairs fall into this collocation category,unique num of error-correction pairs fall into this collocation category,total num of error occur,error_collocation,correction_collocation
well,ADV,good,well woman,good woman,1,410,woman,People,4,3,744,0,18
witte,VERB,write,witte article,write article,1,9,article,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",3,2,9,0,286
woman,NOUN,female,woman colleague,female colleague,1,4,colleague,Friendship and Enmity,3,2,4,0,15
put,VERB,have,put enthusiasm,have enthusiasm,1,20,enthusiasm,Entertainment Generally,3,2,249,0,32
put,VERB,write,put introduction,write introduction,1,9,introduction,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",2,2,249,0,14
put,VERB,use,put stick,use stick,1,22,stick,"Equipment, Machines, and Instruments",2,2,249,4,30
person,NOUN,people,person homeless,people homeless,1,1827,homeless,misc-ap-0,170,68,1888,1,11
pass,VERB,overcome,pass obstacle,overcome obstacle,1,4,obstacle,misc-ap-0,2,2,295,0,117
woody,NOUN,wooden,woody floor,wooden floor,1,4,floor,Parts of Houses,5,3,4,0,15
pass,VERB,survive,pass day,survive day,1,3,day,Periods of Time and their Measurement,2,2,295,3,11
own,ADJ,have,own character,have character,1,53,character,People,8,7,79,0,125
own,ADJ,have,own honor,have honor,1,53,honor,misc-ap-0,9,9,79,0,38
wre,VERB,write,wre paper,write paper,1,20,paper,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",7,3,22,0,66
play,VERB,do,play exercise,do exercise,1,114,exercise,Sports and Games Generally,3,3,375,0,31
rapidly,ADV,quickly,rapidly take,quickly take,1,22,take,"Belonging and Owning, Getting and Giving",6,5,31,2,31
rapidly,ADV,quickly,rapidly turn,quickly turn,1,22,turn,The Preparation and Quality of Food,2,2,31,6,19
rally,NOUN,really,rally nice,really nice,1,32,nice,Good and Evil,6,3,32,0,72
own,ADJ,have,own kind,have kind,1,53,kind,"Being, Becoming, and Happening",6,6,79,0,852
rally,NOUN,really,rally hot,really hot,1,32,hot,Weather and Temperature,6,3,32,0,24
play,VERB,game,play last,game last,1,18,last,Beginning and Ending,3,3,375,4,36
well,ADV,good,well case,good case,1,410,case,Courts of Law and Legal Work,2,2,744,1,78
way,NOUN,away,way fade,away fade,1,11,fade,misc-ap-0,4,2,488,0,117
put,VERB,take,put break,take break,1,25,break,"Bodily Conditions Relating to Health, Sickness, and Disability",4,2,249,0,214
rally,NOUN,really,rally feel,really feel,1,32,feel,Feeling and Behavior Generally,6,4,32,0,32
present,VERB,current,present student,current student,1,10,student,misc-ap-0,2,2,91,1,19
own,ADJ,have,own body,have body,1,53,body,"Equipment, Machines, and Instruments",2,2,79,0,108
perform,VERB,do,perform cleaning,do cleaning,1,36,cleaning,misc-ap-0,5,5,75,0,12
pass,VERB,cross,pass path,cross path,1,9,path,Places,7,5,295,0,58
well,ADV,improve,well ability,improve ability,1,19,ability,Knowing and Learning,3,2,744,1,118
rapidly,ADV,quickly,rapidly recover,quickly recover,1,22,recover,"Belonging and Owning, Getting and Giving",6,5,31,9,38
wright,NOUN,write,wright comment,write comment,1,55,comment,"Communicating, mainly by Speaking and Talking",2,2,55,5,12
own,ADJ,have,own characteristic,have characteristic,1,53,characteristic,"Being, Becoming, and Happening",6,6,79,0,99
well,ADV,good,well performance,good performance,1,410,performance,Music and Related Activities,11,5,744,0,120
well,ADV,good,well answer,good answer,1,410,answer,"Communicating, mainly by Speaking and Talking",5,4,744,2,43
play,VERB,have,play actor,have actor,1,7,actor,"Drama, the Theatre, and Show Business",2,2,375,8,19
win,VERB,beat,win student,beat student,1,94,student,misc-ap-0,6,5,135,0,21
rapidly,ADV,quickly,rapidly sell,quickly sell,1,22,sell,Commerce,4,3,31,6,55
own,ADJ,have,own heart,have heart,1,53,heart,"The Trunk, Arms, and",2,2,79,0,163
rapidly,ADV,quickly,rapidly make,quickly make,1,22,make,The Preparation and Quality of Food,2,2,31,4,50
write,VERB,have,write news,have news,1,7,news,Communication and Information,2,2,222,0,126
wide,ADV,broad,wide definition,broad definition,1,25,definition,"Communicating, mainly by Speaking and Talking",3,3,40,0,36
provide,VERB,have,provide impact,have impact,1,2,impact,misc-ap-0,2,2,23,0,3046
watch,VERB,see,watch snow,see snow,1,522,snow,Weather and Temperature,6,4,641,0,12
well,ADV,good,well management,good management,1,410,management,Causing,7,2,744,0,56
own,ADJ,have,own rhythm,have rhythm,1,53,rhythm,Music and Related Activities,3,3,79,0,14
put,VERB,write,put sentence,write sentence,1,9,sentence,Language,2,2,249,0,19
rally,NOUN,really,rally exciting,really exciting,1,32,exciting,"Relaxation, Excitement, Interest, and Surprise",3,2,32,0,25
own,ADJ,have,own personality,have personality,1,53,personality,People,8,7,79,0,126
own,ADJ,have,own language,have language,1,53,language,misc-ap-0,9,9,79,1,55
rally,NOUN,really,rally happy,really happy,1,32,happy,Happiness and Sadness,4,4,32,0,59
well,ADV,good,well grade,good grade,1,410,grade,"Resemblance, Difference, and Change",3,3,744,1,50
own,ADJ,have,own member,have member,1,53,member,People,8,7,79,0,683
pretty,ADV,very,pretty much,very much,1,13,much,"Size, Importance, and Availability",2,2,43,4,825
own,ADJ,have,own impact,have impact,1,53,impact,misc-ap-0,9,9,79,0,3046
put,VERB,have,put bar,have bar,1,20,bar,Objects Generally,4,3,249,0,39
well,ADV,good,well level,good level,1,410,level,"Resemblance, Difference, and Change",3,3,744,8,23
win,VERB,beat,win rival,beat rival,1,94,rival,Sports and Games Generally,39,5,135,0,18
personality,NOUN,people,personality korean,people korean,1,2,korean,misc-ap-0,2,2,4,0,55
watch,VERB,see,watch truck,see truck,1,522,truck,Vehicles and Transport on Land,7,4,641,0,33
person,NOUN,people,person brave,people brave,1,1827,brave,Fear and Courage,4,3,1888,1,12
wre,VERB,write,wre essay,write essay,1,20,essay,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",7,3,22,0,100
provably,ADV,probably,provably have,probably have,1,10,have,"Belonging and Owning, Getting and Giving",8,4,10,0,352
provably,ADV,probably,provably make,probably make,1,10,make,Causing,8,4,10,0,133
put,VERB,make,put bit,make bit,1,22,bit,Food Generally,2,2,249,0,25
well,ADV,good,well reputation,good reputation,1,410,reputation,Social Classification and Situation,2,2,744,0,57
wright,NOUN,write,wright article,write article,1,55,article,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",12,4,55,0,286
rally,NOUN,really,rally look,really look,1,32,look,"Being, Becoming, and Happening",7,2,32,0,35
rally,NOUN,really,rally glad,really glad,1,32,glad,Happiness and Sadness,4,4,32,0,25
own,ADJ,have,own employee,have employee,1,53,employee,misc-ap-0,9,9,79,5,904
watch,VERB,see,watch beauty,see beauty,1,522,beauty,Linking and Not Linking,3,2,641,0,13
pretty,ADV,really,pretty get,really get,1,8,get,Knowing and Learning,2,2,43,0,46
provably,ADV,probably,provably get,probably get,1,10,get,"Belonging and Owning, Getting and Giving",8,4,10,0,96
put,VERB,wear,put dress,wear dress,1,12,dress,Clothes and Personal Belongings,3,2,249,1,151
present,VERB,give,present speech,give speech,1,28,speech,"Communicating, mainly by Speaking and Talking",2,2,91,0,410
own,ADJ,have,own other,have other,1,53,other,"Resemblance, Difference, and Change",2,2,79,4,48
own,ADJ,have,own chance,have chance,1,53,chance,"Being, Becoming, and Happening",6,6,79,0,2833
rally,NOUN,really,rally sad,really sad,1,32,sad,Happiness and Sadness,4,4,32,0,22
own,ADJ,have,own quality,have quality,1,53,quality,"Being, Becoming, and Happening",6,6,79,2,225
wright,NOUN,write,wright sentence,write sentence,1,55,sentence,Language,2,2,55,0,19
petty,ADJ,pretty,petty simple,pretty simple,1,11,simple,"General, Usual, Unusual, etc",2,2,12,0,17
whole,ADJ,entire,whole building,entire building,1,47,building,Making things,3,2,62,1,31
take,VERB,have,take part,have part,1,607,part,Objects Generally,4,4,2016,1,19
remind,VERB,remember,remind story,remember story,1,97,story,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",2,2,105,0,16
stare,VERB,start,stare people,start people,1,104,people,People,2,2,108,0,29
strongly,ADV,heavily,strongly fall,heavily fall,1,5,fall,Actions and Positions,2,2,108,0,36
strongly,ADV,firmly,strongly put,firmly put,1,11,put,"Communicating, mainly by Speaking and Talking",3,2,108,5,16
strong,ADJ,severe,strong depression,severe depression,1,35,depression,"Cutting, Joining, Breaking, and Destroying",2,2,158,0,31
strong,ADJ,severe,strong damage,severe damage,1,35,damage,"Cutting, Joining, Breaking, and Destroying",2,2,158,0,232
thus,ADV,so,thus clear,so clear,1,36,clear,Courts of Law and Legal Work,2,2,38,0,51
time,NOUN,day,time few,day few,1,93,few,"Size, Importance, and Availability",4,3,551,0,110
stroke,NOUN,strike,stroke earthquake,strike earthquake,1,15,earthquake,Geography,2,2,16,0,18
strength,NOUN,strengthen,strength ability,strengthen ability,1,8,ability,Knowing and Learning,2,2,10,1,36
stimulate,VERB,encourage,stimulate employee,encourage employee,1,11,employee,misc-ap-0,4,2,12,0,22
together,ADV,too,together fall,too fall,1,13,fall,"Being, Becoming, and Happening",3,2,22,7,28
tole,NOUN,tell,tole mother,tell mother,1,7,mother,People,2,2,7,0,100
tome,NOUN,time,tome second,time second,1,17,second,Music and Related Activities,2,2,17,0,27
too,ADV,so,too simple,so simple,1,283,simple,"General, Usual, Unusual, etc",13,4,915,9,81
stare,VERB,start,stare day,start day,1,104,day,Periods of Time and their Measurement,3,2,108,0,124
strongly,ADV,much,strongly miss,much miss,1,2,miss,Feeling and Behavior Generally,2,2,108,0,14
stare,VERB,start,stare college,start college,1,104,college,misc-ap-0,9,5,108,0,14
stare,VERB,start,stare journey,start journey,1,104,journey,Travel and Visiting,2,2,108,0,15
stare,VERB,start,stare study,start study,1,104,study,Knowing and Learning,7,3,108,0,29
stare,VERB,start,stare paper,start paper,1,104,paper,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",3,3,108,0,11
spend,VERB,have,spend date,have date,1,565,date,Periods of Time and their Measurement,97,8,768,0,158
spend,VERB,have,spend lesson,have lesson,1,565,lesson,misc-ap-0,30,10,768,0,37
too,ADV,so,too interesting,so interesting,1,283,interesting,Linking and Not Linking,8,5,915,0,23
too,ADV,so,too boring,so boring,1,283,boring,"Relaxation, Excitement, Interest, and Surprise",5,5,915,0,13
spend,VERB,have,spend lunch,have lunch,1,565,lunch,Food Generally,4,3,768,6,228
spend,VERB,have,spend feeling,have feeling,1,565,feeling,Feeling and Behavior Generally,4,3,768,0,690
spend,VERB,have,spend dinner,have dinner,1,565,dinner,Food Generally,4,3,768,0,199
spend,VERB,have,spend sense,have sense,1,565,sense,Feeling and Behavior Generally,4,3,768,0,472
spend,VERB,have,spend dream,have dream,1,565,dream,Bodily States and Associated Activities,34,3,768,0,171
strongly,ADV,really,strongly know,really know,1,40,know,Knowing and Learning,2,2,108,0,221
strongly,ADV,very,strongly cold,very cold,1,11,cold,Weather and Temperature,2,2,108,0,21
spend,VERB,lead,spend existence,lead existence,1,5,existence,Life and Living Things,4,2,768,0,13
thus,ADV,so,thus feel,so feel,1,36,feel,Feeling and Behavior Generally,4,3,38,0,28
think,VERB,have,think idea,have idea,1,4,idea,"Thinking, Judging and Remembering-",2,2,867,0,1992
take,VERB,give,take injection,give injection,1,35,injection,misc-ap-0,11,10,2016,7,12
surely,ADV,really,surely understand,really understand,1,11,understand,Knowing and Learning,3,2,65,1,34
surely,ADV,really,surely need,really need,1,11,need,Causing,4,2,65,3,51
threat,NOUN,threaten,threat life,threaten life,1,16,life,Life and Living Things,2,2,16,0,207
threat,NOUN,threaten,threat suicide,threaten suicide,1,16,suicide,"The Police, Security Services, Crime, and Criminals",2,2,16,2,14
surely,ADV,certainly,surely need,certainly need,1,11,need,Feeling and Behavior Generally,2,2,65,3,12
sure,ADV,definitely,sure have,definitely have,1,7,have,Food Generally,2,2,51,0,11
sure,ADV,really,sure want,really want,1,4,want,Feeling and Behavior Generally,2,2,51,3,103
sure,ADV,really,sure enjoy,really enjoy,1,4,enjoy,Feeling and Behavior Generally,2,2,51,0,13
suffer,VERB,difficult,suffer thing,difficult thing,1,3,thing,Objects Generally,2,2,29,0,74
suffer,VERB,difficult,suffer part,difficult part,1,3,part,Objects Generally,2,2,29,0,34
threat,NOUN,threaten,threat existence,threaten existence,1,16,existence,Life and Living Things,2,2,16,0,25
such,ADJ,so,such complicated,so complicated,1,28,complicated,"General, Usual, Unusual, etc",3,2,42,0,12
strongly,ADV,very,strongly thin,very thin,1,11,thin,Bodily States and Associated Activities,2,2,108,0,113
such,ADJ,so,such boring,so boring,1,28,boring,"Relaxation, Excitement, Interest, and Surprise",2,2,42,0,13
such,ADJ,so,such vulnerable,so vulnerable,1,28,vulnerable,misc-ap-0,9,9,42,0,16
such,ADJ,other,such place,other place,1,3,place,"Putting and Taking, Pulling and Pushing",3,2,42,0,442
thus,ADV,so,thus use,so use,1,36,use,"Rightness, Fairness, Purpose, Use, & Strength",2,2,38,0,28
thus,ADV,so,thus help,so help,1,36,help,Doing Things,2,2,38,0,11
stuff,NOUN,staff,stuff official,staff official,1,161,official,misc-ap-0,8,4,277,0,15
strongly,ADV,very,strongly aware,very aware,1,11,aware,Knowing and Learning,2,2,108,0,48
thus,ADV,so,thus tired,so tired,1,36,tired,misc-ap-0,3,3,38,0,45
strongly,ADV,much,strongly like,much like,1,2,like,Feeling and Behavior Generally,2,2,108,1,22
strongly,ADV,really,strongly need,really need,1,40,need,Feeling and Behavior Generally,26,4,108,0,51
strongly,ADV,very,strongly bright,very bright,1,11,bright,Knowing and Learning,2,2,108,0,103
thus,ADV,so,thus do,so do,1,36,do,misc-ap-0,3,3,38,1,1994
thus,ADV,so,thus like,so like,1,36,like,Feeling and Behavior Generally,4,3,38,3,30
spend,VERB,have,spend daughter,have daughter,1,565,daughter,People,3,2,768,0,301
spend,VERB,cost,spend food,cost food,1,7,food,Food Generally,2,2,768,0,123
think,VERB,take,think country,take country,1,8,country,Social Organization in Group and Places,3,2,867,0,50
solve,VERB,do,solve program,do program,1,46,program,Mathematics,7,3,192,0,73
too,ADV,very,too considerable,very considerable,1,259,considerable,"Size, Importance, and Availability",17,7,915,0,21
soon,ADV,quickly,soon turn,quickly turn,1,108,turn,"Moving, Coming, and going",29,10,175,4,19
song,NOUN,sing,song music,sing music,1,30,music,misc-ap-0,3,3,32,1,26
song,NOUN,sing,song hymn,sing hymn,1,30,hymn,misc-ap-0,3,3,32,0,65
somewhere,ADV,anywhere,somewhere take,anywhere take,1,20,take,"Putting and Taking, Pulling and Pushing",3,3,21,0,50
too,ADV,very,too warm,very warm,1,259,warm,Weather and Temperature,87,12,915,0,49
too,ADV,so,too brilliant,so brilliant,1,283,brilliant,Knowing and Learning,9,6,915,0,11
too,ADV,very,too hungry,very hungry,1,259,hungry,Food Generally,4,4,915,9,19
too,ADV,so,too carefully,so carefully,1,283,carefully,misc-ap-0,11,10,915,3,34
too,ADV,so,too famous,so famous,1,283,famous,"Thinking, Judging and Remembering-",3,3,915,2,14
solve,VERB,do,solve book,do book,1,46,book,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",2,2,192,0,57
solve,VERB,do,solve thing,do thing,1,46,thing,Objects Generally,4,2,192,0,5340
too,ADV,so,too unique,so unique,1,283,unique,"General, Usual, Unusual, etc",13,4,915,0,12
solve,VERB,do,solve cleaning,do cleaning,1,46,cleaning,misc-ap-0,8,5,192,0,12
too,ADV,really,too scary,really scary,1,21,scary,Fear and Courage,2,2,915,9,25
too,ADV,very,too fine,very fine,1,259,fine,Weather and Temperature,87,12,915,0,20
so far,ADV,already,so far take,already take,1,8,take,"Belonging and Owning, Getting and Giving",4,3,66,0,60
so far,ADV,before,so far happen,before happen,1,47,happen,"Being, Becoming, and Happening",8,2,66,0,129
so far,ADV,before,so far write,before write,1,47,write,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",3,2,66,0,26
so far,ADV,before,so far go,before go,1,47,go,misc-ap-0,2,2,66,0,44
so far,ADV,before,so far live,before live,1,47,live,Life and Living Things,8,2,66,0,13
so far,ADV,soon,so far get,soon get,1,2,get,Commerce,2,2,66,0,44
so far,ADV,before,so far experience,before experience,1,47,experience,Feeling and Behavior Generally,2,2,66,0,19
so far,ADV,before,so far do,before do,1,47,do,misc-ap-0,2,2,66,0,315
so far,ADV,soon,so far buy,soon buy,1,2,buy,Commerce,2,2,66,0,11
so far,ADV,before,so far try,before try,1,47,try,Courts of Law and Legal Work,3,2,66,0,59
too,ADV,very,too close,very close,1,259,close,Weather and Temperature,87,12,915,4,21
too,ADV,really,too beautiful,really beautiful,1,21,beautiful,Linking and Not Linking,2,2,915,0,15
too,ADV,very,too reasonable,very reasonable,1,259,reasonable,"Size, Importance, and Availability",17,7,915,0,52
soon,ADV,quickly,soon learn,quickly learn,1,108,learn,Knowing and Learning,6,2,175,2,39
too,ADV,very,too near,very near,1,259,near,"Moving, Coming, and going",4,3,915,4,56
too,ADV,very,too quiet,very quiet,1,259,quiet,"Relaxation, Excitement, Interest, and Surprise",18,5,915,8,35
too,ADV,so,too wonderful,so wonderful,1,283,wonderful,Good and Evil,14,7,915,4,46
spend,VERB,have,spend sympathy,have sympathy,1,565,sympathy,Kindness and Unkindness,3,2,768,0,115
spend,VERB,have,spend cycle,have cycle,1,565,cycle,Time Generally,387,5,768,0,33
spend,VERB,have,spend break,have break,1,565,break,Time Generally,387,5,768,7,32
spend,VERB,have,spend schedule,have schedule,1,565,schedule,Time Generally,387,5,768,0,85
speedy,ADJ,quickly,speedy spread,quickly spread,1,5,spread,The Preparation and Quality of Food,2,2,8,0,76
speedy,ADJ,quickly,speedy turn,quickly turn,1,5,turn,The Preparation and Quality of Food,2,2,8,0,19
specially,ADV,especially,specially make,especially make,1,190,make,Causing,31,4,190,0,105
specially,ADV,especially,specially give,especially give,1,190,give,Commerce,13,7,190,0,27
too,ADV,so,too sorry,so sorry,1,283,sorry,Happiness and Sadness,22,8,915,4,31
too,ADV,very,too honest,very honest,1,259,honest,"Honesty, Loyalty, Trickery, and Deceit",2,2,915,0,32
too,ADV,very,too funny,very funny,1,259,funny,"General, Usual, Unusual, etc",29,10,915,6,124
specially,ADV,especially,specially believe,especially believe,1,190,believe,"Thinking, Judging and Remembering-",5,4,190,0,14
too,ADV,very,too strange,very strange,1,259,strange,"General, Usual, Unusual, etc",29,10,915,2,83
soon,ADV,immediately,soon call,immediately call,1,7,call,"Communicating, mainly by Speaking and Talking",2,2,175,0,33
too,ADV,so,too well,so well,1,283,well,Good and Evil,14,7,915,4,607
too,ADV,so,too miserable,so miserable,1,283,miserable,Happiness and Sadness,22,8,915,0,11
specially,ADV,especially,specially take,especially take,1,190,take,Commerce,13,7,190,0,25
obtain,VERB,achieve,obtain equality,achieve equality,1,5,equality,"Resemblance, Difference, and Change",2,2,50,0,21
specially,ADV,especially,specially write,especially write,1,190,write,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",6,5,190,0,14
specially,ADV,especially,specially true,especially true,1,190,true,"Being, Becoming, and Happening",27,5,190,0,117
spare,VERB,spend,spare people,spend people,1,6,people,People,2,2,16,0,26
sow,VERB,see,sow film,see film,1,13,film,Communication and Information,2,2,17,0,170
sow,VERB,see,sow movie,see movie,1,13,movie,Communication and Information,2,2,17,0,233
sour,ADJ,sore,sour leg,sore leg,1,7,leg,"The Trunk, Arms, and",5,4,8,0,18
sound,VERB,make,sound threat,make threat,1,2,threat,"Communicating, mainly by Speaking and Talking",2,2,49,0,263
soon,ADV,quickly,soon adjust,quickly adjust,1,108,adjust,Weather and Temperature,3,3,175,0,16
soon,ADV,quickly,soon recover,quickly recover,1,108,recover,"Belonging and Owning, Getting and Giving",15,6,175,3,38
take,VERB,put,take muscle,put muscle,1,37,muscle,misc-ap-0,3,3,2016,2,16
think,VERB,have,think opinion,have opinion,1,4,opinion,"Thinking, Judging and Remembering-",2,2,867,0,356
too,ADV,very,too practical,very practical,1,259,practical,"Rightness, Fairness, Purpose, Use, & Strength",7,4,915,1,29
take,VERB,do,take testing,do testing,1,131,testing,misc-ap-0,16,11,2016,4,93
take,VERB,have,take credit,have credit,1,607,credit,"Thinking, Judging and Remembering-",5,5,2016,2,59
take,VERB,receive,take criticism,receive criticism,1,20,criticism,"Thinking, Judging and Remembering-",6,3,2016,0,30
take,VERB,receive,take therapy,receive therapy,1,20,therapy,misc-ap-0,3,3,2016,0,24
take,VERB,get,take crowd,get crowd,1,497,crowd,Social Organization in Group and Places,6,3,2016,0,19
take,VERB,wear,take helmet,wear helmet,1,3,helmet,Clothes and Personal Belongings,2,2,2016,0,213
take,VERB,have,take mother,have mother,1,607,mother,People,20,11,2016,0,68
take,VERB,have,take section,have section,1,607,section,Objects Generally,4,4,2016,7,52
take,VERB,do,take housework,do housework,1,131,housework,Architecture and Kinds of Houses and Buildings,2,2,2016,0,24
take,VERB,get,take toy,get toy,1,497,toy,Indoor Games,11,7,2016,0,15
take,VERB,last,take hour,last hour,1,3,hour,Periods of Time and their Measurement,2,2,2016,1,116
take,VERB,get,take checkup,get checkup,1,497,checkup,misc-ap-0,79,37,2016,0,12
take,VERB,put,take cap,put cap,1,37,cap,Clothes and Personal Belongings,4,4,2016,3,71
take,VERB,get,take child,get child,1,497,child,People,10,8,2016,1,107
take,VERB,get,take magazine,get magazine,1,497,magazine,Communication and Information,29,11,2016,0,11
take,VERB,have,take heart,have heart,1,607,heart,"The Trunk, Arms, and",7,4,2016,2,163
take,VERB,get,take mail,get mail,1,497,mail,Communication and Information,29,11,2016,5,63
take,VERB,receive,take review,receive review,1,20,review,"Thinking, Judging and Remembering-",6,3,2016,0,76
talk,VERB,tell,talk teacher,tell teacher,1,77,teacher,misc-ap-0,4,3,446,0,49
take,VERB,get,take work,get work,1,497,work,Doing Things,8,3,2016,2,166
take,VERB,get,take snow,get snow,1,497,snow,Weather and Temperature,8,3,2016,0,24
take,VERB,use,take route,use route,1,17,route,Places,3,3,2016,1,49
take,VERB,use,take lot,use lot,1,17,lot,Places,3,3,2016,1,109
take,VERB,use,take site,use site,1,17,site,Places,3,3,2016,0,43
take,VERB,do,take audit,do audit,1,131,audit,misc-ap-0,16,11,2016,2,42
talk,VERB,tell,talk colleague,tell colleague,1,77,colleague,Friendship and Enmity,5,2,446,0,149
talk,VERB,speak,talk word,speak word,1,144,word,Language,2,2,446,0,84
take,VERB,get,take news,get news,1,497,news,Communication and Information,29,11,2016,0,149
take,VERB,talk,take people,talk people,1,55,people,People,3,3,2016,1,13
take,VERB,get,take guy,get guy,1,497,guy,People,10,8,2016,0,139
take,VERB,have,take culture,have culture,1,607,culture,Social Organization in Group and Places,12,4,2016,0,43
talk,VERB,take,talk crack,take crack,1,11,crack,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",3,2,446,0,23
take,VERB,have,take chance,have chance,1,607,chance,"Being, Becoming, and Happening",15,8,2016,3,2833
take,VERB,have,take allergy,have allergy,1,607,allergy,Diseases and Ailments,3,3,2016,0,13
take,VERB,eat,take meal,eat meal,1,17,meal,Food Generally,9,2,2016,0,111
take,VERB,get,take refund,get refund,1,497,refund,misc-ap-0,79,37,2016,0,116
take,VERB,have,take industry,have industry,1,607,industry,Industry and Work,30,3,2016,1,145
take,VERB,have,take delay,have delay,1,607,delay,Beginning and Ending,4,4,2016,0,25
take,VERB,get,take vaccine,get vaccine,1,497,vaccine,misc-ap-0,79,37,2016,0,11
take,VERB,have,take influence,have influence,1,607,influence,Causing,9,4,2016,0,592
take,VERB,have,take motivation,have motivation,1,607,motivation,"Thinking, Judging and Remembering-",5,5,2016,0,43
take,VERB,get,take teacher,get teacher,1,497,teacher,misc-ap-0,79,37,2016,9,11
take,VERB,have,take accident,have accident,1,607,accident,"Being, Becoming, and Happening",15,8,2016,8,122
take,VERB,get,take card,get card,1,497,card,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",27,8,2016,1,73
take,VERB,get,take injection,get injection,1,497,injection,misc-ap-0,79,37,2016,7,17
take,VERB,get,take hold,get hold,1,497,hold,Travel and Visiting,26,8,2016,3,31
take,VERB,get,take taste,get taste,1,497,taste,misc-ap-0,79,37,2016,5,108
take,VERB,receive,take reply,receive reply,1,20,reply,"Communicating, mainly by Speaking and Talking",5,2,2016,0,68
take,VERB,have,take abortion,have abortion,1,607,abortion,Beginning and Ending,4,4,2016,0,474
take,VERB,get,take grip,get grip,1,497,grip,"Belonging and Owning, Getting and Giving",6,5,2016,4,56
take,VERB,have,take cold,have cold,1,607,cold,Diseases and Ailments,3,3,2016,0,52
take,VERB,have,take shot,have shot,1,607,shot,"Possibility, Chance, and Necessity",8,4,2016,1,382
take,VERB,have,take treatment,have treatment,1,607,treatment,Feeling and Behavior Generally,8,3,2016,7,47
take,VERB,have,take tooth,have tooth,1,607,tooth,Animals/ Mammals,8,4,2016,0,13
take,VERB,write,take article,write article,1,4,article,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",2,2,2016,7,286
take,VERB,do,take painting,do painting,1,131,painting,Arts and Crafts,2,2,2016,0,48
take,VERB,have,take dream,have dream,1,607,dream,Bodily States and Associated Activities,33,4,2016,6,171
take,VERB,get,take sound,get sound,1,497,sound,"Bodily Conditions Relating to Health, Sickness, and Disability",5,5,2016,0,22
take,VERB,have,take affair,have affair,1,607,affair,"Being, Becoming, and Happening",15,8,2016,0,265
take,VERB,seize,take chance,seize chance,1,4,chance,"Possibility, Chance, and Necessity",4,2,2016,3,13
take,VERB,bring,take gift,bring gift,1,22,gift,Knowing and Learning,2,2,2016,0,20
take,VERB,give,take explanation,give explanation,1,35,explanation,"Communicating, mainly by Speaking and Talking",5,4,2016,0,130
take,VERB,make,take film,make film,1,158,film,Communication and Information,4,3,2016,1,481
take,VERB,give,take seminar,give seminar,1,35,seminar,misc-ap-0,11,10,2016,0,28
tell,VERB,show,tell picture,show picture,1,14,picture,Communication and Information,2,2,725,0,115
tell,VERB,show,tell movie,show movie,1,14,movie,Communication and Information,2,2,725,0,77
take,VERB,have,take bed,have bed,1,607,bed,Furniture and Household Fittings,5,2,2016,2,69
take,VERB,make,take hospital,make hospital,1,158,hospital,misc-ap-0,13,12,2016,0,13
take,VERB,give,take love,give love,1,35,love,Linking and Not Linking,2,2,2016,6,32
take,VERB,make,take memo,make memo,1,158,memo,misc-ap-0,13,12,2016,4,13
take,VERB,have,take majority,have majority,1,607,majority,"Size, Importance, and Availability",20,3,2016,0,38
tell,VERB,give,tell warning,give warning,1,111,warning,"Communicating, mainly by Speaking and Talking",53,8,725,0,76
tell,VERB,give,tell explanation,give explanation,1,111,explanation,"Communicating, mainly by Speaking and Talking",53,8,725,0,130
tell,VERB,give,tell sentence,give sentence,1,111,sentence,Language,18,2,725,0,76
tell,VERB,give,tell encouragement,give encouragement,1,111,encouragement,Causing,2,2,725,0,24
tell,VERB,give,tell overview,give overview,1,111,overview,misc-ap-0,2,2,725,0,14
tell,VERB,give,tell speech,give speech,1,111,speech,"Communicating, mainly by Speaking and Talking",53,8,725,0,410
take,VERB,get,take power,get power,1,497,power,"Rightness, Fairness, Purpose, Use, & Strength",17,4,2016,1,72
take,VERB,put,take picture,put picture,1,37,picture,Communication and Information,2,2,2016,1,39
take,VERB,give,take author,give author,1,35,author,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",2,2,2016,4,12
take,VERB,have,take exam,have exam,1,607,exam,"Showing, Hiding, Finding, Saving, and Similar Words",32,6,2016,1,11
tell,VERB,show,tell weakness,show weakness,1,14,weakness,misc-ap-0,2,2,725,0,68
tell,VERB,make,tell request,make request,1,3,request,"Communicating, mainly by Speaking and Talking",2,2,725,0,424
